transactionid,transactiondate,customerid,productid,storeid,campaignid,totalamount,quantitysold,paymentmethod,salesrepresentative,unit_price
1,2024-04-19,1028,2066,403,0,1148.82,2,Debit Card,J. Alvarez,574.41
2,2024-03-19,1028,2016,402,1,1103.78,1,PayPal,K. Nguyen,1103.78
3,2025-07-01,1021,2044,404,0,281.3,1,Debit Card,J. Alvarez,281.3
4,2024-08-22,1060,2021,404,1,8187.75,5,Cash,L. Martinez,1637.55
5,2025-08-14,1316,2119,403,2,485.05,1,PayPal,L. Martinez,485.05
6,2024-03-05,1041,2118,405,1,1112.28,3,Credit Card,D. Williams,370.76
7,2025-05-31,1036,2011,404,4,3939.2,4,Credit Card,K. Nguyen,984.8
8,2024-01-25,1050,2004,405,1,3663.91,3,Apple Pay,J. Alvarez,1221.3033333333333
9,2025-04-19,1201,2086,403,1,863.38,1,Cash,K. Nguyen,863.38
10,2024-12-23,1008,2049,403,0,998.57,4,Debit Card,J. Alvarez,249.6425
11,2024-03-18,1023,2095,405,4,404.28,2,PayPal,J. Alvarez,202.14
12,2024-12-24,1018,2053,404,4,428.6,4,Apple Pay,D. Williams,107.15
13,2024-09-06,1027,2025,403,4,1073.11,1,Apple Pay,R. Johnson,1073.11
14,2025-07-02,1033,2118,403,4,741.52,2,PayPal,S. Patel,370.76
15,2024-11-01,1270,2104,405,0,1484.61,3,Credit Card,A. Torres,494.86999999999995
16,2025-02-25,1050,2023,403,0,3655.94,2,Cash,D. Williams,1827.97
18,2024-04-05,1070,2116,403,0,481.82,1,PayPal,R. Johnson,481.82
20,2025-03-11,1035,2012,402,0,2735.08,4,Debit Card,S. Patel,683.77
21,2024-07-08,1104,2043,405,3,205.16,2,Debit Card,D. Williams,102.58
22,2025-11-23,1039,2008,402,0,6954.9,6,Cash,S. Patel,1159.1499999999999
23,2025-09-09,1015,2069,404,0,2541.38,2,Apple Pay,M. Chen,1270.69
24,2024-02-20,1071,2091,403,3,451.21,1,Debit Card,S. Patel,451.21
25,2025-02-27,1058,2021,402,2,1637.55,1,Apple Pay,A. Torres,1637.55
26,2024-11-22,1033,2067,404,0,4022.1,3,Debit Card,L. Martinez,1340.7
27,2024-05-18,1334,2065,402,1,915.27,1,Apple Pay,J. Alvarez,915.27
28,2024-05-11,1104,2000,402,0,1077.53,1,Debit Card,S. Patel,1077.53
29,2024-01-08,1023,2086,405,0,1726.76,2,Cash,L. Martinez,863.38
30,2025-11-12,1058,2036,401,4,939.95,4,PayPal,K. Nguyen,234.9875
31,2024-04-29,1057,2114,401,1,1325.32,4,PayPal,R. Johnson,331.33
33,2025-09-24,1071,2110,401,4,997.36,4,Apple Pay,M. Chen,249.34
35,2025-08-11,1003,2058,402,3,138.26,1,Credit Card,S. Patel,138.26
36,2024-07-31,1049,2068,402,1,4525.6,5,Debit Card,K. Nguyen,905.1200000000001
37,2024-09-04,1015,2066,404,0,1723.23,3,Debit Card,D. Williams,574.41
38,2025-10-22,1007,2011,402,0,1720.43,2,Apple Pay,R. Johnson,860.215
39,2025-11-19,1030,2047,401,0,195.06,2,Cash,S. Patel,97.53
40,2025-11-12,1071,2026,405,0,5277.48,4,Credit Card,R. Johnson,1319.37
41,2024-12-17,1007,2083,402,0,6487.2,5,Apple Pay,D. Williams,1297.44
42,2024-07-16,1201,2019,405,0,2908.08,2,Credit Card,M. Chen,1454.04
43,2024-07-18,1000,2099,405,0,995.1,2,Apple Pay,M. Chen,497.55
44,2025-06-15,1104,2010,404,0,6594.52,4,Cash,R. Johnson,1648.63
45,2024-11-30,1040,2060,401,0,1426.31,3,Cash,R. Johnson,475.43666666666667
46,2025-05-05,1072,2049,403,3,1350.2,5,PayPal,J. Alvarez,270.04
47,2025-09-23,1207,2079,402,3,1147.47,1,Debit Card,K. Nguyen,1147.47
48,2025-06-06,1059,2081,401,4,3637.14,3,Cash,L. Martinez,1212.3799999999999
49,2024-03-31,1039,2108,403,0,716.26,2,PayPal,A. Torres,358.13
50,2024-12-26,1289,2029,404,0,5015.28,3,Debit Card,R. Johnson,1671.76
52,2025-01-18,1025,2022,404,4,4477.35,3,Apple Pay,J. Alvarez,1492.45
53,2025-11-27,1289,2046,405,0,794.32,4,PayPal,J. Alvarez,198.58
54,2025-07-26,1049,2033,404,4,1199.96,4,Cash,L. Martinez,299.99
55,2025-03-31,1049,2071,402,3,5679.12,4,Debit Card,S. Patel,1419.78
56,2025-11-16,1036,2013,402,3,5638.52,4,Cash,J. Alvarez,1409.63
57,2025-07-05,1044,2028,404,3,2835.64,2,PayPal,R. Johnson,1417.82
58,2024-12-24,1003,2014,405,1,2100.2,2,Debit Card,L. Martinez,1050.1
59,2025-06-10,1007,2024,403,0,1197.74,1,PayPal,L. Martinez,1197.74
60,2025-05-04,1022,2011,402,4,984.8,1,Credit Card,D. Williams,984.8
61,2024-12-22,1034,2014,402,4,1945.92,2,Cash,L. Martinez,972.96
62,2025-10-17,1030,2022,402,0,2735.93,2,Apple Pay,J. Alvarez,1367.965
63,2024-07-10,1062,2010,402,2,3297.26,2,Debit Card,A. Torres,1648.63
64,2025-10-02,1010,2031,404,3,348.46,2,Debit Card,S. Patel,174.23
66,2024-03-31,1029,2005,403,1,3668.92,2,Cash,A. Torres,1834.46
67,2024-11-14,1009,2032,402,2,965.76,4,PayPal,L. Martinez,241.44
68,2024-12-15,1005,2090,404,2,800.52,2,PayPal,L. Martinez,400.26
69,2024-08-11,1048,2023,403,0,3655.94,2,Cash,D. Williams,1827.97
70,2024-03-16,1050,2002,401,1,5875.48,4,Credit Card,R. Johnson,1468.87
71,2024-11-17,1042,2005,405,2,5503.38,3,PayPal,D. Williams,1834.46
72,2024-12-23,1394,2009,405,0,3819.97,4,Debit Card,D. Williams,954.9925
73,2025-03-10,1023,2044,402,0,1125.2,4,Credit Card,M. Chen,281.3
74,2024-11-18,1316,2075,404,0,5863.26,6,Credit Card,L. Martinez,977.21
75,2025-05-12,1201,2033,401,0,1199.96,4,PayPal,D. Williams,299.99
76,2025-08-04,1025,2104,404,0,1484.61,3,Debit Card,R. Johnson,494.86999999999995
77,2024-03-20,1053,2100,402,1,187.29,1,Apple Pay,L. Martinez,187.29
78,2024-11-30,1278,2070,401,0,1215.15,1,PayPal,M. Chen,1215.15
79,2024-10-23,1049,2109,403,0,1039.02,3,Debit Card,S. Patel,346.34
80,2024-05-31,1003,2024,403,0,4790.96,4,Credit Card,A. Torres,1197.74
81,2024-03-28,1037,2036,404,0,1018.52,4,Credit Card,S. Patel,254.63
83,2025-03-17,1048,2022,405,1,1320.61,1,PayPal,L. Martinez,1320.61
84,2024-11-28,1049,2060,402,4,1671.81,3,Apple Pay,D. Williams,557.27
85,2024-02-12,1001,2023,405,2,5483.91,3,PayPal,D. Williams,1827.97
86,2024-05-24,1009,2052,402,4,626.31,3,PayPal,L. Martinez,208.76999999999998
87,2025-03-21,1057,2010,403,0,1648.63,1,Apple Pay,D. Williams,1648.63
88,2024-07-03,1045,2025,403,4,1073.11,1,Debit Card,R. Johnson,1073.11
89,2024-05-11,1018,2051,404,0,436.38,3,Cash,L. Martinez,145.46
90,2024-03-15,1015,2108,404,0,1323.45,4,Debit Card,R. Johnson,330.8625
91,2025-08-09,1395,2011,401,3,917.57,1,Debit Card,A. Torres,917.57
92,2024-04-05,1023,2097,403,2,775.96,2,PayPal,S. Patel,387.98
93,2024-11-15,1173,2060,404,3,506.47,1,Credit Card,A. Torres,506.47
94,2025-11-27,1009,2099,402,3,1492.65,3,Cash,A. Torres,497.55
95,2024-07-23,1010,2119,403,0,485.05,1,Cash,R. Johnson,485.05
96,2024-11-11,1000,2023,401,4,1827.97,1,Cash,R. Johnson,1827.97
97,2025-11-08,1346,2107,403,3,163.67,1,Apple Pay,M. Chen,163.67
98,2024-10-25,1334,2021,401,4,4912.65,3,Debit Card,L. Martinez,1637.55
99,2024-06-13,1036,2089,403,0,1230.04,2,PayPal,R. Johnson,615.02
100,2025-07-01,1138,2042,405,2,405.68,2,Apple Pay,L. Martinez,202.84
101,2025-07-27,1007,2059,404,0,230.21,2,Apple Pay,K. Nguyen,115.105
103,2024-11-10,1270,2019,401,2,4957.68,3,Cash,K. Nguyen,1652.5600000000002
104,2024-10-05,1028,2017,405,0,1958.82,3,Cash,L. Martinez,652.9399999999999
105,2024-06-04,1070,2076,404,4,1190.4,1,Cash,M. Chen,1190.4
106,2024-09-03,1039,2032,402,4,211.35,1,Apple Pay,J. Alvarez,211.35
107,2025-11-09,1028,2077,402,4,820.75,1,Cash,S. Patel,820.75
108,2024-08-17,1008,2037,405,1,729.51,3,Cash,K. Nguyen,243.17
109,2024-04-17,1036,2027,402,0,6847.24,4,Apple Pay,M. Chen,1711.81
110,2024-12-13,1023,2058,403,0,553.04,4,Cash,L. Martinez,138.26
111,2024-11-22,1395,2035,402,3,372.08,2,Credit Card,R. Johnson,186.04
112,2025-07-06,1030,2030,401,0,474.63,3,Credit Card,A. Torres,158.21
113,2024-02-26,1036,2067,403,0,5812.12,5,Cash,R. Johnson,1162.424
114,2024-11-15,1073,2053,404,1,428.6,4,Debit Card,R. Johnson,107.15
115,2025-11-21,1070,2087,405,0,4344.09,3,Apple Pay,D. Williams,1448.03
116,2024-10-18,1394,2060,405,0,557.27,1,Apple Pay,M. Chen,557.27
117,2025-11-28,1055,2014,402,0,1050.1,1,Debit Card,D. Williams,1050.1
118,2024-03-22,1071,2111,403,0,436.04,2,Debit Card,S. Patel,218.02
119,2025-01-27,1016,2016,402,0,1265.73,1,Credit Card,R. Johnson,1265.73
120,2024-10-16,1064,2112,403,1,777.98,2,Debit Card,K. Nguyen,388.99
121,2025-03-14,1154,2085,405,3,1161.31,1,Credit Card,J. Alvarez,1161.31
122,2025-10-28,1045,2084,402,0,2919.27,3,PayPal,S. Patel,973.09
124,2024-10-03,1006,2091,405,1,1226.41,3,Cash,R. Johnson,408.80333333333334
125,2024-04-13,1138,2070,405,0,2230.81,2,Cash,M. Chen,1115.405
126,2025-10-21,1346,2044,403,0,2250.4,8,Credit Card,S. Patel,281.3
129,2025-04-30,1202,2100,402,4,494.88,3,Credit Card,R. Johnson,164.96
130,2024-06-04,1057,2037,401,0,972.68,4,Debit Card,K. Nguyen,243.17
131,2025-05-24,1173,2027,404,0,5135.43,3,Debit Card,J. Alvarez,1711.8100000000002
132,2024-03-02,1055,2077,403,4,3283.0,4,PayPal,D. Williams,820.75
134,2025-07-13,1154,2102,404,0,662.4,3,Cash,S. Patel,220.79999999999998
136,2024-09-22,1394,2017,403,3,1958.82,3,PayPal,R. Johnson,652.9399999999999
137,2025-11-14,1334,2089,404,0,615.02,1,PayPal,R. Johnson,615.02
139,2024-08-27,1040,2065,404,2,2745.81,3,Credit Card,K. Nguyen,915.27
140,2024-05-15,1394,2017,403,2,652.94,1,Cash,D. Williams,652.94
141,2025-04-13,1098,2080,401,1,3265.04,4,Debit Card,R. Johnson,816.26
142,2024-07-20,1060,2076,402,1,2512.78,2,PayPal,L. Martinez,1256.39
143,2024-12-24,1106,2096,402,4,1073.6,4,Debit Card,J. Alvarez,268.4
144,2024-02-01,1296,2095,405,0,907.48,4,Credit Card,K. Nguyen,226.87
145,2024-09-17,1124,2031,402,2,174.23,1,Debit Card,K. Nguyen,174.23
146,2024-03-11,1114,2050,405,0,717.66,3,Debit Card,D. Williams,239.22
147,2024-06-10,1059,2020,405,0,3880.26,3,PayPal,J. Alvarez,1293.42
148,2025-06-07,1155,2116,403,2,427.17,1,Credit Card,S. Patel,427.17
149,2024-05-23,1029,2075,402,4,2931.63,3,Apple Pay,S. Patel,977.21
150,2024-11-01,1070,2060,403,3,1671.81,3,Apple Pay,S. Patel,557.27
151,2025-04-17,1030,2055,404,0,668.97,3,Cash,L. Martinez,222.99
152,2025-03-23,1030,2044,404,0,843.9,3,PayPal,A. Torres,281.3
153,2024-07-09,1009,2009,403,3,3223.14,3,Credit Card,L. Martinez,1074.3799999999999
154,2024-09-04,1006,2098,405,2,474.37,1,Cash,M. Chen,474.37
155,2025-06-21,1029,2010,401,4,1648.63,1,Debit Card,S. Patel,1648.63
156,2025-08-01,1005,2101,405,4,1435.44,4,PayPal,S. Patel,358.86
157,2025-03-04,1202,2064,404,0,1174.13,1,Apple Pay,S. Patel,1174.13
158,2024-06-18,1245,2037,403,3,486.34,2,Debit Card,S. Patel,243.17
159,2025-09-10,1254,2056,405,1,710.24,4,Debit Card,K. Nguyen,177.56
161,2025-06-01,1033,2113,403,0,323.07,1,Cash,L. Martinez,323.07
162,2025-03-28,1010,2029,402,2,1468.94,1,Cash,M. Chen,1468.94
163,2024-11-17,1004,2083,405,0,2594.88,2,PayPal,S. Patel,1297.44
164,2025-09-02,1009,2105,402,0,248.66,1,Apple Pay,S. Patel,248.66
165,2024-11-01,1289,2056,405,0,653.18,4,Debit Card,L. Martinez,163.295
166,2025-09-15,1009,2079,403,2,1147.47,1,Cash,K. Nguyen,1147.47
167,2025-02-11,1005,2067,404,0,2489.75,2,Cash,D. Williams,1244.875
168,2024-10-09,1022,2065,404,3,1830.54,2,Credit Card,A. Torres,915.27
169,2025-10-21,1213,2068,402,2,2715.36,3,PayPal,S. Patel,905.12
170,2025-06-01,1289,2090,402,0,362.67,1,Credit Card,M. Chen,362.67
171,2024-05-25,1028,2033,401,1,599.98,2,PayPal,J. Alvarez,299.99
173,2024-09-15,1334,2108,403,2,358.13,1,Credit Card,S. Patel,358.13
174,2025-01-27,1310,2047,403,2,285.7,3,PayPal,K. Nguyen,95.23333333333333
175,2024-12-20,1015,2112,402,0,777.98,2,Apple Pay,A. Torres,388.99
177,2025-05-18,1213,2085,405,1,4645.24,4,Credit Card,J. Alvarez,1161.31
178,2025-08-25,1099,2012,404,4,2051.31,3,Debit Card,A. Torres,683.77
179,2025-09-21,1051,2105,402,0,1989.28,8,PayPal,M. Chen,248.66
180,2024-06-30,1032,2085,402,0,2322.62,2,Credit Card,M. Chen,1161.31
181,2025-03-07,1046,2000,403,3,2155.06,2,Cash,M. Chen,1077.53
182,2025-05-03,1048,2059,403,1,372.12,3,Apple Pay,A. Torres,124.04
183,2025-04-05,1036,2111,402,2,436.04,2,Debit Card,J. Alvarez,218.02
184,2024-07-05,1099,2069,402,1,8894.83,7,PayPal,A. Torres,1270.69
185,2025-03-18,1005,2092,402,3,366.34,1,PayPal,L. Martinez,366.34
186,2024-03-17,1041,2119,404,0,970.1,2,Credit Card,M. Chen,485.05
187,2025-07-09,1365,2019,405,0,1538.74,1,Credit Card,S. Patel,1538.74
188,2024-07-21,1033,2005,403,2,7337.84,4,Apple Pay,A. Torres,1834.46
189,2025-02-04,1010,2012,402,1,2735.08,4,Debit Card,M. Chen,683.77
190,2025-03-28,1046,2002,403,4,1468.87,1,PayPal,A. Torres,1468.87
191,2024-07-03,1243,2051,403,0,290.92,2,Debit Card,M. Chen,145.46
192,2025-02-13,1057,2113,401,0,969.21,3,Apple Pay,D. Williams,323.07
193,2024-03-21,1202,2116,402,3,481.82,1,Apple Pay,L. Martinez,481.82
194,2024-11-02,1064,2003,405,3,1968.76,1,PayPal,R. Johnson,1968.76
195,2025-07-18,1072,2017,405,0,2611.76,4,Apple Pay,R. Johnson,652.94
196,2025-04-18,1003,2061,401,0,5291.08,4,PayPal,J. Alvarez,1322.77
197,2024-12-23,1000,2001,402,0,4681.74,3,Credit Card,A. Torres,1560.58
198,2024-12-29,1144,2011,404,2,3939.2,4,Cash,J. Alvarez,984.8
199,2025-04-06,1041,2016,403,2,3604.73,3,Credit Card,M. Chen,1201.5766666666666
200,2024-10-06,1330,2056,403,4,532.68,3,Apple Pay,R. Johnson,177.55999999999997
201,2024-07-26,1026,2094,402,0,1617.36,4,Cash,R. Johnson,404.34
202,2024-09-07,1075,2073,403,1,2910.84,4,Debit Card,L. Martinez,727.71
203,2024-04-26,1072,2026,402,0,3958.11,3,PayPal,D. Williams,1319.3700000000001
204,2024-09-29,1008,2077,402,0,820.75,1,Debit Card,L. Martinez,820.75
205,2025-06-11,1346,2017,403,0,652.94,1,Credit Card,R. Johnson,652.94
206,2025-01-20,1254,2049,403,2,270.04,1,Apple Pay,M. Chen,270.04
207,2025-07-02,1051,2074,401,0,4114.74,3,Cash,S. Patel,1371.58
208,2024-05-04,1074,2056,405,0,710.24,4,Credit Card,D. Williams,177.56
209,2025-09-23,1009,2014,401,0,1050.1,1,PayPal,J. Alvarez,1050.1
211,2024-07-22,1006,2053,403,2,288.75,3,PayPal,L. Martinez,96.25
212,2025-01-07,1044,2020,403,0,3880.26,3,Cash,M. Chen,1293.42
213,2024-04-01,1128,2020,401,1,3880.26,3,Debit Card,M. Chen,1293.42
214,2024-07-07,1007,2013,401,0,1409.63,1,Apple Pay,K. Nguyen,1409.63
215,2024-04-28,1007,2048,402,0,842.13,3,Apple Pay,S. Patel,280.71
216,2025-09-17,1155,2118,404,1,1483.04,4,Apple Pay,A. Torres,370.76
218,2024-03-24,1016,2078,403,0,3196.04,3,Credit Card,K. Nguyen,1065.3466666666666
219,2024-08-31,1071,2053,401,2,321.45,3,Apple Pay,J. Alvarez,107.14999999999999
220,2025-07-07,1309,2079,401,4,2294.94,2,PayPal,M. Chen,1147.47
221,2024-03-15,1207,2016,403,1,2531.46,2,Debit Card,S. Patel,1265.73
222,2024-04-12,1073,2062,401,4,671.74,1,PayPal,R. Johnson,671.74
223,2024-02-08,1068,2052,403,1,626.31,3,Credit Card,R. Johnson,208.76999999999998
224,2024-05-14,1036,2079,401,1,6851.29,7,Apple Pay,R. Johnson,978.7557142857142
225,2024-11-29,1040,2071,405,0,4259.34,3,Cash,R. Johnson,1419.78
226,2024-06-24,1000,2039,405,0,862.18,6,Cash,R. Johnson,143.69666666666666
